dep,dur,mem,jour,temp,prec,pointe
10/10/2021 18:04,1000,0,dimanche,16.2,0,2
10/17/2021 17:40,791,0,dimanche,11.1,0.2,2
10/10/2021 18:30,407,0,dimanche,16.2,0,2
10/3/2021 17:00,1266,0,dimanche,13,0.7,2
5/13/2021 9:33,984,0,jeudi,13.4,0,1
5/13/2021 6:35,624,0,jeudi,13.4,0,1
5/27/2021 9:14,323,0,jeudi,11.5,0,1
5/27/2021 8:56,543,0,jeudi,11.5,0,1
5/20/2021 8:35,860,0,jeudi,23.4,0,1
5/20/2021 13:45,1914,0,jeudi,23.4,0,3
5/27/2021 13:20,1223,0,jeudi,11.5,0,3
5/27/2021 13:12,1284,0,jeudi,11.5,0,3
5/6/2021 13:39,526,0,jeudi,10.2,0,3
5/6/2021 11:17,785,0,jeudi,10.2,0,3
5/27/2021 18:39,850,0,jeudi,11.5,0,2
5/13/2021 17:32,572,0,jeudi,13.4,0,2
5/6/2021 15:41,434,0,jeudi,10.2,0,2
5/6/2021 17:17,4181,0,jeudi,10.2,0,2
5/20/2021 18:41,3071,0,jeudi,23.4,0,2
6/17/2021 8:53,938,0,jeudi,18.2,0,1
6/17/2021 7:05,1458,0,jeudi,18.2,0,1
6/10/2021 7:23,785,0,jeudi,18.5,0,1
6/3/2021 7:45,297,0,jeudi,17.5,6.3,1
6/10/2021 6:11,226,0,jeudi,18.5,0,1
6/3/2021 1:05,1058,0,jeudi,17.5,6.3,3
6/17/2021 21:44,727,0,jeudi,18.2,0,3
6/24/2021 23:24,2859,0,jeudi,20.4,0,3
6/10/2021 2:19,6078,0,jeudi,18.5,0,3
6/17/2021 22:53,1073,0,jeudi,18.2,0,3
6/10/2021 17:56,555,0,jeudi,18.5,0,2
6/17/2021 16:32,1135,0,jeudi,18.2,0,2
6/17/2021 16:59,533,0,jeudi,18.2,0,2
6/17/2021 18:05,1608,0,jeudi,18.2,0,2
6/10/2021 16:06,782,0,jeudi,18.5,0,2
7/29/2021 8:50,985,0,jeudi,17.7,0.7,1
7/8/2021 8:00,923,0,jeudi,17.2,16.1,1
7/8/2021 8:23,1811,0,jeudi,17.2,16.1,1
7/15/2021 9:57,395,0,jeudi,25.3,3.2,1
7/15/2021 6:47,811,0,jeudi,25.3,3.2,1
7/8/2021 14:06,1013,0,jeudi,17.2,16.1,3
7/1/2021 20:37,416,0,jeudi,20.6,0,3
7/1/2021 21:24,2622,0,jeudi,20.6,0,3
7/22/2021 12:30,763,0,jeudi,19.6,0,3
7/29/2021 0:03,2179,0,jeudi,17.7,0.7,3
7/1/2021 17:13,4216,0,jeudi,20.6,0,2
7/15/2021 15:55,1182,0,jeudi,25.3,3.2,2
7/1/2021 17:23,1757,0,jeudi,20.6,0,2
7/29/2021 15:40,736,0,jeudi,17.7,0.7,2
7/22/2021 17:07,758,0,jeudi,19.6,0,2
8/19/2021 6:42,665,0,jeudi,23.7,0.5,1
8/12/2021 8:21,674,0,jeudi,26.9,0,1
8/12/2021 8:25,566,0,jeudi,26.9,0,1
8/26/2021 8:18,732,0,jeudi,27.6,0,1
8/19/2021 9:06,991,0,jeudi,23.7,0.5,1
8/12/2021 23:33,877,0,jeudi,26.9,0,3
8/26/2021 11:58,2568,0,jeudi,27.6,0,3
8/26/2021 14:34,925,0,jeudi,27.6,0,3
8/26/2021 12:27,524,0,jeudi,27.6,0,3
8/12/2021 11:19,288,0,jeudi,26.9,0,3
8/5/2021 16:09,691,0,jeudi,22.1,0,2
8/5/2021 18:32,1942,0,jeudi,22.1,0,2
8/19/2021 18:27,891,0,jeudi,23.7,0.5,2
8/19/2021 17:33,636,0,jeudi,23.7,0.5,2
8/19/2021 15:48,796,0,jeudi,23.7,0.5,2
9/9/2021 7:30,803,0,jeudi,19.5,1.6,1
9/30/2021 8:55,944,0,jeudi,11.3,0,1
9/2/2021 7:13,652,0,jeudi,15.6,0,1
9/30/2021 7:36,450,0,jeudi,11.3,0,1
9/2/2021 9:14,513,0,jeudi,15.6,0,1
9/9/2021 19:41,1332,0,jeudi,19.5,1.6,3
9/9/2021 22:13,658,0,jeudi,19.5,1.6,3
9/23/2021 19:21,469,0,jeudi,24.7,6.3,3
9/30/2021 13:23,358,0,jeudi,11.3,0,3
9/2/2021 21:15,405,0,jeudi,15.6,0,3
9/16/2021 17:14,2181,0,jeudi,16.9,0.2,2
9/2/2021 17:15,1808,0,jeudi,15.6,0,2
9/2/2021 18:13,1191,0,jeudi,15.6,0,2
9/23/2021 18:54,443,0,jeudi,24.7,6.3,2
9/2/2021 17:14,1030,0,jeudi,15.6,0,2
10/14/2021 7:47,759,0,jeudi,18.3,0,1
10/28/2021 8:13,749,0,jeudi,7.9,0,1
10/21/2021 6:42,505,0,jeudi,11.7,5.8,1
10/21/2021 8:14,649,0,jeudi,11.7,5.8,1
10/28/2021 7:43,590,0,jeudi,7.9,0,1
10/7/2021 19:08,968,0,jeudi,14.4,0,3
10/14/2021 10:47,705,0,jeudi,18.3,0,3
10/7/2021 19:05,594,0,jeudi,14.4,0,3
10/7/2021 10:56,1226,0,jeudi,14.4,0,3
10/28/2021 1:08,477,0,jeudi,7.9,0,3
10/7/2021 15:13,461,0,jeudi,14.4,0,2
10/7/2021 17:09,578,0,jeudi,14.4,0,2
10/7/2021 17:37,729,0,jeudi,14.4,0,2
10/14/2021 17:50,454,0,jeudi,18.3,0,2
10/28/2021 18:07,556,0,jeudi,7.9,0,2
5/25/2021 7:41,1147,0,mardi,19.7,0.5,1
